District code,District name,State name,Age Group 0 29,Age Group 30 49,Age Group 50,Age not stated,Agricultural Workers,Below Primary Education,Buddhists,Christians,Condition of occupied census houses Dilapidated Households,Cultivator Workers,Female,Female Literate,Female SC,Female ST,Female Workers,Graduate Education,Having bathing facility Total Households,Having latrine facility within the premises Total Households,Higher Education,Hindus,Household size 1 person Households,Household size 1 to 2 persons,Household size 2 persons Households,Household size 3 persons Households,Household size 3 to 5 persons Households,Household size 4 persons Households,Household size 5 persons Households,Household size 6 8 persons Households,Household size 9 persons and above Households,Household Workers,Households,Households with Bicycle,Households with Car Jeep Van,Households with Computer,Households with Internet,Households with Radio Transistor,Households with Scooter Motorcycle Moped,Households with separate kitchen Cooking inside house,Households with Telephone Mobile Phone,Households with Telephone Mobile Phone Both,Households with Telephone Mobile Phone Landline only,Households with Telephone Mobile Phone Mobile only,Households with Television,Households with TV Computer Laptop Telephone mobile phone and Scooter Car,Housholds with Electric Lighting,Illiterate Education,Jains,Literate,Literate Education,Location of drinking water source Away Households,Location of drinking water source Near the premises Households,Location of drinking water source Within the premises Households,LPG or PNG Households,Main source of drinking water Handpump Tubewell Borewell Households,Main source of drinking water Other sources Households,Main source of drinking water River Canal Households,Main source of drinking water Spring Households,Main source of drinking water Tank Pond Lake Households,Main source of drinking water Tapwater Households,Main source of drinking water Tubewell Borehole Households,Main source of drinking water Un covered well Households,Main Workers,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Male,Male Literate,Male SC,Male ST,Male Workers,Marginal Workers,Married couples 1 Households,Married couples 2 Households,Married couples 3 Households,Married couples 3 or more Households,Married couples 4 Households,Married couples None Households,Married_couples_5__Households,Middle Education,Muslims,Non Workers,Not having bathing facility within the premises Total Households,Not having latrine facility within the premises Alternative source Open Households,Other Education,Other Workers,Others Religions,Ownership Owned Households,Ownership Rented Households,Population,Power Parity Above Rs 545000,Power Parity Less than Rs 45000,Power Parity Rs 150000 240000,Power Parity Rs 150000 330000,Power Parity Rs 240000 330000,Power Parity Rs 330000 425000,Power Parity Rs 330000 545000,Power Parity Rs 425000 545000,Power Parity Rs 45000 150000,Power Parity Rs 45000 90000,Power Parity Rs 90000 150000,Primary Education,Religion Not Stated,Rural Households,SC,Secondary Education,Sikhs,ST,Total Education,Total Power Parity,Type of bathing facility Enclosure without roof Households,Type of fuel used for cooking Any other Households,Type of latrine facility Flush pour flush latrine connected to other system Households,Type of latrine facility Night soil disposed into open drain Households,Type of latrine facility Other latrine Households,Type of latrine facility Pit latrine Households,Urban Households,Workers
495,Daman,DAMAN AND DIU,122589,52868,15428,288,481,8957,216,2618,313,1845,66514,46032,2038,7538,11019,9128,40804,40951,14170,171537,3397,11608,8211,10433,30398,12523,7442,6389,1297,409,71079,14642,3163,4543,1316,10502,14167,47373,43171,1888,1718,39565,28433,2827,49249,20641,244,150348,119741,772,11808,37112,25844,14176,284,2,7,12,34905,10900,78,101717,305,124659,104316,2224,7702,94502,3804,26109,2388,576,720,116,20475,28,30406,16087,85652,8888,4307,1995,102786,79,14722,33493,191173,7897,893,4285,6729,2444,3382,7843,4461,10783,3631,7152,28094,223,10006,4262,26991,169,15240,140382,34145,6654,78,159,29,42,544,61073,105521
496,Dadra AND Nagar Haveli,DADRA AND NAGAR HAVELI,225103,87888,30346,372,17799,24701,634,5113,368,28164,149949,80709,2847,89720,37868,19655,48312,39999,22700,322857,4312,13836,9524,11879,39654,15845,11930,16210,3363,2195,108783,17822,4136,6017,2013,11354,18647,70851,45973,2430,1706,41837,34467,3669,69558,91055,1186,223230,209575,7997,26605,38461,29101,32907,270,188,442,29,34001,15041,4170,130299,929,193760,142521,3339,88844,119293,26862,46111,8321,1367,1565,169,17066,29,32004,12922,186548,24751,29222,3566,109003,293,40607,31255,343709,235,431,407,971,564,729,1707,978,3449,1782,1667,69140,487,48221,6186,37809,217,178564,300630,6793,10519,11,433,55,251,539,60562,157161
497,Nandurbar,MAHARASHTRA,1011352,390419,241534,4990,438176,166664,4969,8467,12229,211672,815125,394410,23712,573907,349167,58461,209973,91574,113019,1521618,9605,42288,32683,35991,163042,64261,62790,93252,21041,14599,405012,40529,6135,17047,2579,23172,39350,307273,101758,9349,6958,85451,83144,4587,186202,790613,6191,906509,848475,50913,150740,117970,54335,95048,2283,6832,13979,290,181543,12702,16755,664193,23384,833170,512099,24273,568026,442898,127872,229070,50661,8718,10189,1195,29703,276,121404,96182,856230,109650,209071,9248,127618,2907,292483,21845,1648295,0,264,144,354,210,207,431,224,1399,950,449,218718,7276,333440,47985,160961,685,1141933,1639088,2446,114915,395,6318,584,849,30875,71572,792065
498,Dhule,MAHARASHTRA,1167569,513908,350747,18638,429536,200494,13405,3653,12099,239139,996831,570528,62503,320281,365922,114931,324594,127610,182739,1825460,13980,48076,34096,41877,217726,90252,85597,112622,30276,20646,528790,107616,10912,27139,6065,51566,74859,387619,210557,18343,17041,175173,174524,12022,315332,649568,12818,1293916,1335558,36121,126552,246027,126138,29738,2531,753,2426,1171,343030,6159,22861,825875,6881,1054031,723388,65068,327034,570448,110495,271935,73107,17909,21672,3094,41986,669,208571,187901,1114492,84106,192994,14526,247049,912,344482,54960,2050862,0,292,208,513,305,372,850,478,1927,1133,794,323641,5291,382777,127571,290656,1422,647315,1985126,3583,110921,434,4911,710,1255,20311,146013,936370
499,Jalgaon,MAHARASHTRA,2352671,1080237,763529,33480,937174,482462,143865,7091,38533,384359,2032552,1262659,189846,294217,677099,229987,764674,316969,375643,3457615,38031,124995,86964,110671,512687,216606,185410,207987,45988,38930,1169788,229955,19560,56775,14297,92379,170551,810168,459652,58630,50297,350725,431221,26385,720791,1003050,27404,2891882,3014615,78982,239159,573516,350029,42052,13926,1439,878,2193,790910,14410,32746,1643955,18436,2197365,1629223,199427,310150,1186472,219616,614318,135560,28837,34659,4845,107120,977,532587,560261,2366346,126983,417552,31008,503108,9662,724904,125375,4229917,65,614,471,1158,687,847,1969,1122,4183,2393,1790,735730,20928,796223,389273,627198,3091,604367,4017665,7988,278071,1299,9328,1615,2472,32687,373565,1863571
500,Buldana,MAHARASHTRA,1467457,641840,473071,3890,603227,315408,364229,3531,33751,385447,1248698,830982,229450,60684,485617,113783,451231,195038,228266,1845424,21975,80047,58072,70149,321880,134349,117382,127921,23183,13770,728192,121784,10034,24877,4767,43579,84546,481806,293299,19950,16240,257109,225282,8993,423036,600436,12242,1879874,1940864,127173,178190,247668,103898,110480,6186,1216,790,1431,299430,21939,113493,1107542,9623,1337560,1048892,241445,64153,734024,112099,392034,79296,14394,16802,2000,64899,408,400342,354236,1366617,101800,343190,19619,217197,522,496630,31267,2586258,0,406,262,645,383,430,929,499,2441,1531,910,457067,4406,575405,470895,406379,1668,124837,2541300,4421,224024,541,13816,789,1365,62687,152787,1219641
501,Akola,MAHARASHTRA,998769,483200,327932,4005,388521,231841,328033,4483,23055,129680,881572,652304,177815,48921,247792,112574,342367,180311,205723,1107809,13577,54381,40804,52202,234221,97428,84591,86078,16455,9660,504235,126856,9037,24232,6163,51950,72460,356809,195210,16617,14360,164233,176674,11896,314490,352687,10205,1411281,1460317,72003,128538,190594,107463,121230,2924,1494,297,588,229535,36379,27953,691025,5303,932334,758977,186244,51359,520362,77129,286863,46987,8838,10693,1479,46592,376,275264,357253,1045752,48768,194151,15157,240293,389,339748,37265,1813906,0,270,255,627,372,442,1121,679,1930,1059,871,328367,4230,308158,364059,291391,1504,100280,1813004,3948,146312,317,9561,2835,4875,35776,196077,768154
502,Washim,MAHARASHTRA,682919,302425,210185,1631,310195,166509,179330,1707,15533,165598,576858,382214,111595,39068,229439,47865,210412,87120,116032,859949,8898,36462,27564,31483,151658,63577,56598,59947,9825,7122,330846,66675,3623,10757,1875,21548,37729,241170,125662,6965,7506,111191,97022,2868,196022,291525,8476,869917,899778,83047,82181,92664,36840,51591,2556,255,151,430,106117,15457,87105,502755,3392,620302,487703,117867,41403,340353,67037,190683,33948,6237,7325,909,25936,179,160331,142672,627368,47480,166416,7294,86877,381,240347,10854,1197160,0,190,115,282,167,181,369,188,1101,714,387,238985,4127,274925,229462,162762,518,80471,1191303,1942,98571,210,6338,440,863,30135,55921,569792
503,Amravati,MAHARASHTRA,1540590,783549,553265,11041,667943,326195,383891,7223,34409,198793,1407677,1044771,246976,198294,398745,203273,553087,342031,346876,2055177,23825,92293,68468,90409,398987,172071,136507,124902,21264,20998,781815,211384,15285,36185,9438,54714,124261,605336,295756,31416,28565,235775,302188,18992,512492,478074,11360,2251875,2349512,82305,200903,354238,175917,78586,4239,517,363,612,496146,11118,43570,1061544,5731,1480768,1207104,259398,205834,837577,174778,469750,72743,11205,13343,1762,81610,376,463051,421410,1652123,84359,268773,16148,348588,3288,569476,42996,2888445,0,404,369,909,540,692,1728,1036,3195,1683,1512,468853,3854,508921,506374,525116,2242,404128,2827586,6236,217004,1025,26019,1951,2942,83616,272894,1236322
504,Wardha,MAHARASHTRA,659540,370227,270107,900,282170,140470,175417,2696,23351,132989,632389,466841,92261,72809,215919,93772,260962,171680,158055,1057096,13479,47313,33834,45226,201617,91911,64480,47580,6170,13785,388704,129060,6970,16260,4313,38959,70849,289664,166398,16802,14587,135009,170620,8251,266155,212054,5663,1019458,1012774,35608,94090,172982,114029,54733,1158,244,145,219,192075,15618,43788,529623,1766,668385,552617,96569,76698,392316,78612,219560,35427,4227,4772,454,42921,91,201471,53854,692539,41718,121646,7017,179291,2254,263170,28598,1300774,99,184,141,348,207,276,610,334,1510,799,711,186781,1647,268486,188830,225208,2147,149507,1224828,2754,87739,212,11552,388,832,40604,120218,608235
505,Nagpur,MAHARASHTRA,2460820,1361821,818467,12462,423587,325084,668050,34667,46097,206606,2268595,1714588,428508,214005,534349,493236,914291,753520,542228,3492202,36059,127603,91544,149225,647880,286874,211781,182251,38074,52419,1308366,577214,71592,135750,57964,268402,426007,967598,719955,91604,110280,518071,728714,106415,917626,601547,24528,3673808,3703540,79272,206020,710516,599780,108836,5205,284,539,2969,760675,27620,76380,1654778,8997,2384975,1959220,439205,223566,1334211,213782,723785,111423,22289,26991,3915,133609,787,812381,390974,2785010,81517,218911,73475,1185948,12181,770480,187414,4653570,2385,491,1071,2205,1134,1575,3355,1780,5637,2153,3484,666693,10499,430844,867713,790443,20469,437571,4305087,14073,126426,1818,7603,5480,9707,66624,877522,1868560
506,Bhandara,MAHARASHTRA,626978,333120,232754,7482,312183,115150,154458,2145,19822,123099,594814,411151,99951,44371,252251,67061,207488,168707,153749,1009352,11857,38950,27093,38939,180328,79510,61879,50895,5600,17169,356418,182892,5184,13165,2932,20500,54974,259055,131424,10568,10685,110171,117299,5536,227025,235524,1017,899860,949619,56000,109232,110541,55948,98701,957,333,100,153,104699,17788,53482,413838,1543,605520,488709,100421,44515,345054,183467,198202,32822,4162,4670,433,40079,75,208902,26502,603029,68285,103053,12452,144854,3555,243836,26370,1200334,102,175,105,257,152,209,376,167,1327,748,579,187870,2474,283843,200372,204435,831,88886,1185143,2237,61873,278,8561,250,1121,76896,72575,597305
507,Gondiya,MAHARASHTRA,704214,371908,244111,2274,281414,138457,125282,1827,14238,186509,660953,461406,88527,108309,282268,57923,174150,151792,159570,1153861,11264,37863,26599,36760,178543,76317,65466,64380,8645,32525,386515,200918,5074,13595,2866,31287,49085,271917,123673,8854,9117,105702,104997,5357,239981,256549,1568,1004243,1060206,61648,133210,94573,38044,129626,520,79,48,151,50702,17597,76525,433962,798,661554,542837,87434,105944,383151,231457,204840,42804,6078,7017,802,34770,137,231153,26157,657088,115281,134627,9620,164971,5080,266154,17945,1322507,79,201,106,260,154,213,322,109,1321,806,515,237888,6572,319702,175961,225595,2160,214253,1316755,2183,61452,175,11098,245,520,71924,66813,665419
508,Gadchiroli,MAHARASHTRA,605217,289448,175518,2759,247813,108850,82695,3872,20007,225358,531614,313255,59704,207929,260899,35809,141192,66240,95911,927411,12659,43040,30381,35482,150618,65625,49511,46102,5985,11321,330840,130592,3098,11064,1663,20026,29827,224789,73787,5125,5277,63385,63613,2643,145459,360229,454,708365,670318,72989,106525,66231,31014,106162,795,808,671,251,47920,8725,61997,392886,2525,541328,395110,61041,207377,323338,191351,179456,26054,2628,2938,267,37297,43,139482,21063,488705,104553,176662,4154,99745,30047,219479,19756,1072942,49,180,84,201,117,163,202,39,1135,723,412,145767,6719,293586,120745,140345,681,415306,1030547,1765,61421,145,4153,291,876,19042,37254,584237
509,Chandrapur,MAHARASHTRA,1163802,629890,403719,6896,473983,243773,286734,10701,45698,220978,1080473,706050,171467,192688,409607,126488,409521,229471,241179,1780085,25793,89601,63808,81791,352330,162114,108425,78830,8851,21346,684655,248585,12746,31419,8239,39608,113039,498914,250418,21209,17042,212167,229635,16949,418666,516728,3861,1578615,1631602,118279,194051,217282,172661,198829,2686,1009,317,361,215128,53175,93300,804433,4373,1123834,872565,176898,196753,648565,253739,397896,53264,6425,7243,707,71209,111,337320,92297,1146135,120091,287872,15040,341865,23188,440367,67694,2204307,44,304,285,702,417,541,1401,860,2633,1327,1306,316192,2190,451324,348365,351610,5251,389441,2148330,5085,140603,853,11635,772,2037,51021,233331,1058172
510,Yavatmal,MAHARASHTRA,1549263,733258,483813,6014,739718,391944,249874,4567,46620,333504,1352383,906594,161509,253161,540524,123074,508756,198454,245819,2251401,27030,105064,78034,92410,403805,174490,136905,117638,13878,17899,798132,168661,12132,29917,6094,59201,99346,599805,279184,19991,16735,242458,245261,11514,446516,718204,11422,2022574,2117390,174880,236872,228633,134500,161450,6530,2278,443,2001,281437,35746,159344,1195100,11252,1419965,1115980,167009,260896,815475,160899,481605,65953,8902,10268,1141,82559,225,382001,239236,1416349,131629,423536,21889,264878,3745,575266,39344,2772348,39,436,272,670,398,493,1001,508,2789,1695,1094,562739,10507,629243,328518,389924,1596,514057,2835594,4937,258247,407,14731,796,1613,40688,168889,1355999
511,Nanded,MAHARASHTRA,2008314,809135,535827,8016,632395,416869,354189,3902,44689,447823,1631217,934203,311686,137803,568721,156225,505657,217163,255650,2501741,15073,70675,55602,73125,365093,145062,146906,179714,40821,29158,821682,109371,12341,43055,7548,88374,83106,556481,384823,21313,18983,344527,216364,12589,488748,884626,5049,2189425,2327305,167950,238501,249852,116284,223195,14283,1558,707,3809,308749,116462,92893,1317791,20357,1730075,1255222,328797,143892,925232,176162,470048,102146,23953,29970,4819,54139,1198,368723,471951,1867339,150646,430610,21729,384577,1273,579750,61234,3361292,79,525,365,900,535,622,1403,781,3307,1986,1321,691348,9647,591119,640483,416761,13540,281695,3211931,6214,237329,623,9194,8183,8941,50696,230563,1493953
512,Hingoli,MAHARASHTRA,692117,281905,201828,1495,226483,175736,176679,992,12784,241613,571051,340192,89186,54280,238279,38698,180484,73460,74544,863199,5715,24157,18442,22066,120315,48484,49765,66399,16170,8268,284369,48246,3833,9676,1221,29798,29815,206387,134812,4797,5768,124247,73640,2130,159114,331388,5278,790743,824880,57492,86000,83549,27700,93262,3624,645,115,734,81482,33349,43819,514371,5118,606294,450551,93379,57674,330903,54811,152388,43401,10726,13185,2007,18067,452,127246,127552,608163,46557,150891,5932,92818,103,209663,13034,1177345,0,180,105,258,153,174,356,182,1060,676,384,266649,2899,242456,182565,136075,643,111954,1156268,1853,88837,122,4882,1882,2224,29717,41913,569182
513,Parbhani,MAHARASHTRA,1078349,436486,313455,7796,317806,229217,187899,2081,25942,295030,893216,491523,121425,19944,321375,81333,270114,103819,116041,1328385,9159,41162,32003,37244,189010,74180,77586,106170,23844,13210,427239,82350,6973,21196,3982,49166,50197,275622,224888,13530,11554,199804,135933,6057,272486,552643,6238,1157814,1266426,80436,122327,157423,59272,152059,5983,2418,220,1570,148444,38790,45702,756417,10191,942870,666291,125883,20570,501422,66380,250755,62672,14807,17950,2608,28809,535,204316,306364,1013289,90072,252348,9703,196751,262,325984,25840,1836086,0,254,219,540,321,370,904,534,1712,982,730,396713,3486,293480,247308,229103,1371,40514,1819069,3410,139853,305,3803,2249,3107,17111,133759,822797
514,Jalna,MAHARASHTRA,1150104,454836,341479,12627,300937,271061,152540,12542,24008,418952,947573,496095,133309,20275,385856,64060,301447,141841,120715,1504641,12310,47401,35091,40200,205666,82627,82839,109422,25627,16705,502830,84022,8400,17236,3791,43810,75655,278273,255420,32267,28619,194534,158182,6111,288895,545980,9619,1195523,1331287,99928,138493,149695,60219,108318,7794,1471,558,1633,160526,35098,98790,844492,11456,1011473,699428,138957,21988,545030,86394,259264,71403,16511,19862,2754,37587,597,218189,274221,1028160,86669,239505,9724,194292,336,348751,29927,1959046,0,265,178,437,259,340,728,388,1932,1105,827,422207,3518,404746,272266,225331,1629,42263,1877267,3363,155721,539,6536,2199,2793,60248,98084,930886
515,Aurangabad,MAHARASHTRA,2211996,909771,571932,7583,396630,381695,309093,15991,38022,554518,1776813,1072901,262140,69490,559215,253253,616355,360410,310762,2545438,22399,85884,63485,88118,415993,174101,153774,186833,47877,28033,979132,192027,33322,69937,23258,94872,230188,614224,526483,37266,34570,454647,403594,43514,589477,819734,30981,2503837,2611982,116410,198011,422166,246324,106395,16193,1840,1197,3542,459847,47614,136042,1446636,22772,1924469,1430936,277228,73876,1015864,128443,515923,114583,28816,35684,5444,70397,1424,422964,786677,2126203,120232,363645,19101,595898,1005,580691,138210,3701282,501,472,463,1139,676,900,2044,1144,3963,1966,1997,686271,6955,551789,539368,537936,5142,143366,3431716,8119,196880,627,6139,9400,12201,39614,427343,1575079
516,Nashik,MAHARASHTRA,3580633,1567252,948469,10833,730228,544346,94783,23946,50036,967385,2950001,1947828,272474,771822,1017042,373100,1000293,551864,485052,5237009,35768,132456,96688,140025,662495,279902,242568,298134,87208,56132,1668932,400486,79590,138887,45039,185442,396040,1107241,798663,73768,56688,668207,630639,89201,904710,1481778,38212,4345366,4220456,150754,339616,689923,536781,105024,7787,5860,7727,4622,745698,38456,278657,2523023,25996,3157186,2397538,282213,792547,1746286,240305,792059,193089,49411,61091,9421,134054,2259,851714,693052,3343859,180000,453364,97219,1009583,1795,934281,196514,6107187,764,805,792,1950,1158,1534,3509,1975,6602,3303,3299,1038955,9478,904661,554687,830070,8912,1564369,5702234,13629,222666,1480,12996,3330,4856,91664,764271,2763328
517,Thane,MAHARASHTRA,6184519,3241888,1579921,53820,418004,712171,449617,280700,51874,349931,5195070,3635765,352204,773259,1129644,961719,2207808,1627847,1080597,8716055,96076,350327,254251,435279,1535929,657707,442943,451745,92615,124461,3618151,403936,172210,551643,256170,566768,499186,2375413,2011713,330833,196291,1484589,1741244,255987,2231800,1692022,172052,8227161,7739336,192508,489893,1748215,1610460,215983,13807,8846,5420,9424,1964564,90875,168043,3930511,37497,5865078,4591396,377885,769192,3363123,562256,1769316,250784,44923,52217,6102,358299,1192,1588196,1355630,6567381,222808,346756,114453,3600371,9862,1758319,632143,11060148,5565,1175,2404,5501,3097,4199,9394,5195,13483,4956,8527,1530916,37083,713994,730089,1751284,39149,1542451,9431358,35118,172861,2940,24170,23492,30858,94878,2904157,4492767
518,Mumbai Suburban,MAHARASHTRA,4936360,2812001,1575566,33035,20722,512268,469568,322476,28170,16086,4325639,3352456,283011,49527,790699,1183117,1918734,1108623,1091433,6337132,90530,302629,212099,350525,1248569,528485,369559,388001,88544,118816,3078829,233596,259702,652946,404757,739957,310929,1999138,1918659,449691,178939,1290029,1725154,322194,1964657,1111093,343639,7575485,7658146,71788,390920,1565035,1586946,14108,31686,3725,1341,12917,1956872,5506,3572,3515922,49669,5031323,4223029,300291,55033,2944322,219099,1390224,228259,42925,49882,5768,359378,1189,1628031,1795788,5621941,109009,48898,189063,3579397,18345,1537690,442768,9356962,7897,893,4285,6729,2444,3382,7843,4461,10783,3631,7152,1140066,22726,0,583302,1914168,47288,104560,8769239,34145,150699,3762,18899,27064,36259,21949,3078829,3735021
519,Mumbai,MAHARASHTRA,1553005,933586,583243,15577,5745,118967,134257,84555,9825,6051,1400803,1098342,108370,11605,263387,343374,610641,427208,378764,1873762,36524,105710,69186,102012,369160,153428,113720,128284,34584,45538,1107321,56086,80168,204234,121344,221503,105842,621109,602209,150960,61038,390211,543699,100244,625927,262312,166000,2509022,2567141,10889,85525,541324,494883,7707,3741,453,465,1100,623468,275,273,1209334,5759,1684608,1410680,111564,13488,1021009,75062,409944,74432,15197,18184,2446,135178,541,603937,773173,1801015,27097,9340,57044,1227062,31094,428162,185170,3085411,18289,1001,10835,14430,3595,5027,12624,7597,13819,3485,10334,399792,9099,0,219934,665263,13471,25093,2829453,60163,36613,1044,6813,9819,11722,9072,1107321,1284396
520,Raigarh,MAHARASHTRA,1414154,748339,462741,8966,191182,231263,121791,17452,15724,206975,1289855,880302,66972,151468,319126,204507,547214,369857,221410,2239370,32108,100690,68582,94793,362797,157065,110939,109995,23032,32919,959028,136247,43536,96301,38570,86139,158119,574723,453122,87201,85087,280834,374021,53397,547206,482420,12260,1939994,1861740,73768,184021,338725,328277,65017,3956,4337,3801,1871,440717,36724,61663,858825,13965,1344345,1059692,67980,153657,753843,214144,418185,69416,12537,14741,1833,94172,371,335886,227465,1561231,49300,108443,19940,641893,1159,463109,119513,2634200,592,279,489,860,371,518,1192,674,3173,1292,1881,407662,7226,581868,134952,441072,7477,305125,2344160,6097,46062,728,8622,2704,3643,59081,377160,1072969
521,Pune,MAHARASHTRA,5184734,2624165,1586132,34377,414461,559840,340404,134192,53670,886530,4505303,3231513,577948,169744,1239177,1086650,1915302,1531966,867256,8090254,96584,332841,236257,352685,1286031,568235,365111,364149,93586,105711,3222457,735590,273326,490260,235018,675621,1013058,1962040,1792197,210257,130854,1451086,1555272,382527,1925019,1353077,127786,7171723,6736249,133498,367187,1575922,1410448,179132,17983,6905,5200,7919,1674141,102403,168164,3751221,38007,4924105,3940210,602755,179132,2809816,297772,1426982,280248,62953,74115,9251,295262,1911,1383055,673704,5380415,161305,284449,190336,2642291,9873,1382496,612584,9429408,5349,905,2831,4780,1949,2727,5999,3272,10190,3929,6261,1234549,26105,1165718,1180703,1414563,27090,348876,8089326,27223,278309,1766,15997,23574,28552,162289,2056739,4048993
522,Ahmadnagar,MAHARASHTRA,2496560,1166245,865139,15215,559009,483996,33898,22766,57605,1013050,2200334,1378535,282177,187065,904281,315842,685370,415902,411908,4107143,33434,115515,82081,96430,495176,217812,180934,226142,64915,57156,1323404,443393,41423,68902,18370,138055,320361,694310,639160,56902,41944,540314,474009,37444,677592,1061271,38718,3151890,3404595,162525,255756,483467,300116,142331,18379,6091,2801,5641,454298,76924,243307,2039455,32912,2342825,1773355,291521,191165,1300309,165135,578365,172714,45226,54165,7323,96504,1616,580959,320743,2338569,216378,439033,32304,575375,1408,765073,89425,4543159,122,701,478,1177,699,928,1906,978,4924,2833,2091,833691,13052,1041393,573698,745895,5431,378230,4465866,8832,223521,925,10773,4160,5419,120627,282011,2204590
523,Bid,MAHARASHTRA,1473882,614615,494436,2116,373566,309704,68482,2097,38598,606280,1235943,731322,171477,15916,527729,129996,374363,136943,206530,2174672,16817,71277,54460,57981,296136,118905,119250,151010,26650,21093,698571,119991,12836,29198,5614,54715,91909,330203,346380,22887,17352,306141,205352,8484,402052,821607,8719,1718507,1691672,122888,212361,209824,82098,188216,7332,3311,698,2818,230929,65540,104531,1154708,14159,1349106,987185,179777,16806,727819,100840,375614,96737,18848,22161,2761,50561,552,280800,320395,1329501,170710,399231,11438,254609,399,492304,39323,2585049,10,396,234,576,342,398,813,415,2383,1502,881,436446,9461,563114,351254,316758,824,32722,2513279,4179,208442,677,4243,1586,2294,33033,135457,1255548
524,Latur,MAHARASHTRA,1406364,584243,453229,10360,416578,268627,66535,2387,23432,331780,1181056,718240,232995,27616,376839,153256,380772,178478,224998,2006984,11663,49246,37583,47525,257585,103991,106069,134259,33059,17663,585632,108626,13150,29758,6217,33408,81052,406711,302745,23165,21703,257877,190739,10060,381722,596213,6387,1650672,1765952,84717,157775,231657,96018,132136,6775,647,368,3949,276749,78205,47969,964177,11739,1273140,932432,247918,29872,670018,82680,324131,85186,21152,26122,3973,38710,997,296910,367664,1407339,93377,290582,18106,280836,310,421140,44074,2454196,0,373,267,656,389,474,1083,609,2460,1448,1012,423711,2994,428616,480913,380344,935,57488,2362165,4574,150679,986,7484,1078,2039,52372,157016,1046857
525,Osmanabad,MAHARASHTRA,917343,393539,343021,3673,299525,183972,28216,942,19674,297361,796041,493506,128830,17470,300121,96847,271812,96586,139479,1437623,14578,51380,36802,38462,190464,78207,73795,87928,18988,19831,444990,93061,7974,18183,3209,37076,51577,266231,200323,14906,13991,171426,117741,4182,240042,440363,4530,1137810,1193594,66841,133374,148545,49180,105563,5286,929,221,6954,197371,52455,29560,701894,13390,861535,644304,136354,18569,473795,72022,239940,56487,12180,14708,2101,37625,427,201646,178925,883660,76948,240274,9913,157199,195,316237,22964,1657576,40,262,150,369,219,267,500,233,1614,1008,606,300965,6805,367158,265184,260772,340,36039,1633957,2786,121016,753,4514,685,1113,37362,77832,773916
526,Solapur,MAHARASHTRA,2402794,1089900,809935,15127,558334,390337,35497,9882,50495,637250,2089904,1259410,317785,37807,691462,236302,698690,355107,328020,3795424,34195,111765,77570,92587,469237,198967,177683,215367,62612,71106,1156231,419488,28219,59296,15145,163776,229240,707954,576726,40507,35124,501095,376000,27734,595560,976795,28134,2910676,2951035,125356,305670,427955,248255,193008,10562,7892,879,5263,489698,69961,140885,1763175,24596,2227852,1651266,331960,39785,1206933,135220,564956,145894,41088,50093,7339,98038,1666,535848,441254,2419361,160291,414793,29051,631705,568,723697,97376,4317756,0,627,543,1337,794,1013,2397,1384,4634,2539,2095,788150,5718,779929,649745,643327,1279,77592,3927830,8995,261294,824,7722,5312,6952,116304,376302,1898395
527,Satara,MAHARASHTRA,1517324,800492,671702,14223,297241,288427,141315,4408,30714,585876,1492899,1024660,161533,14425,510142,243457,575804,455235,299993,2691952,34375,101753,67378,83191,359607,157231,119185,137863,40776,39772,975471,246949,36046,57423,14093,132762,195582,602990,463058,50076,34682,378300,374085,31351,562653,545423,12810,2225694,2313266,54823,166005,419171,271186,89747,3989,1780,8291,1207,470030,43779,57989,1184407,15267,1510842,1201034,161703,15210,844805,170540,401102,111364,27333,32495,4263,95038,899,407977,146970,1648794,64195,84568,20884,432058,676,550485,67211,3003741,334,437,280,654,374,517,883,366,3342,1881,1461,495822,4428,774522,323236,556706,1182,29635,2858689,5649,120000,721,9967,1433,2175,183223,200949,1354947
528,Ratnagiri,MAHARASHTRA,777431,438905,396967,1766,153117,163025,113467,1990,14800,296913,853948,580380,34981,9972,307068,65700,348019,273162,111600,1307211,37275,97527,60252,61760,212475,84254,66461,68615,14762,17230,639362,49177,15191,31062,7752,40484,61559,382573,258015,46494,74069,137452,163470,13304,367352,319622,3347,1199392,1251437,64348,144837,184194,100860,20957,1639,4400,12540,2223,237852,16054,76316,554973,20802,761121,619012,31967,10402,407008,159103,246068,43462,7172,8615,1183,95234,260,269872,187197,900993,45360,54952,15429,246816,95,346267,37274,1615069,202,233,173,371,198,278,561,283,2115,1106,1009,378554,1532,538538,66948,247257,230,20374,1571059,3484,44684,220,9158,626,957,57456,100824,714076
529,Sindhudurg,MAHARASHTRA,382024,242296,222963,2368,81816,86480,24762,15471,9120,124812,432319,317778,28756,3401,117502,48418,181343,155696,89023,780384,19204,49175,29971,32456,114147,46485,35206,34018,7779,9679,340836,39669,9264,15721,3517,16413,37159,198711,131855,20150,18320,93385,98475,6101,194228,121922,1046,666067,702460,31664,61473,111982,42540,7546,705,677,4621,1206,62947,5910,97574,226538,7209,417332,348289,26830,3575,229676,120640,133398,22973,3810,4590,614,44158,166,134734,26264,502473,23776,28945,3451,130871,53,181960,17110,849651,85,107,117,206,89,124,281,157,1071,508,563,165284,1452,295847,55586,175070,219,6976,824382,1749,19684,187,6455,203,238,28187,44989,347178
